Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P d,0-3 d,3-10 d,10-16 d,16-3P d,3P d,,2P p,0-3 p,3-10 p,10-16 p,16-3P p,3P p,,2P a,3P a,,%FGA du,# du,,%3PA c,3P% c,,Att.,#
77,Troy Brown Jr.\browntr01,SF,21,TOT,34,524,0.431,17.4,,0.514,0.174,0.132,0.063,0.146,0.486,,0.541,0.8,0.474,0.444,0.333,0.314,,0.6,1,,0.021,2,,0.357,0.36,,2,0
77,Troy Brown Jr.\browntr01,SF,21,WAS,21,287,0.371,19,,0.483,0.112,0.124,0.09,0.157,0.517,,0.442,0.7,0.455,0.375,0.286,0.304,,0.474,1,,0.022,1,,0.261,0.417,,1,0
77,Troy Brown Jr.\browntr01,SF,21,CHI,13,237,0.527,14.8,,0.564,0.273,0.145,0.018,0.127,0.436,,0.677,0.867,0.5,1,0.429,0.333,,0.714,1,,0.018,1,,0.542,0.308,,1,0
78,Jalen Brunson\brunsja01,PG,24,DAL,68,1697,0.523,13.3,,0.681,0.214,0.228,0.161,0.078,0.319,,0.578,0.799,0.42,0.525,0.551,0.405,,0.235,0.864,,0.002,0,,0.28,0.5,,0,0
79,Elijah Bryant\bryanel01,SG,25,MIL,1,32,0.462,12.6,,0.615,0.385,0.154,0,0.077,0.385,,0.625,0.6,0.5,,1,0.2,,0,1,,0,0,,0,,,0,0
80,Thomas Bryant\bryanth01,C,23,WAS,10,271,0.648,10.3,,0.769,0.374,0.231,0.088,0.077,0.231,,0.714,0.912,0.762,0.375,0,0.429,,0.72,1,,0.286,24,,0.048,1,,0,0
81,Reggie Bullock\bullore01,SF,29,NYK,65,1949,0.442,20.8,,0.291,0.087,0.052,0.061,0.091,0.709,,0.521,0.633,0.379,0.5,0.51,0.41,,0.859,0.975,,0.002,1,,0.317,0.468,,1,0
82,Trey Burke\burketr01,PG,28,DAL,62,911,0.428,17.1,,0.535,0.159,0.096,0.139,0.142,0.465,,0.492,0.518,0.441,0.51,0.48,0.354,,0.312,0.897,,0,0,,0.293,0.313,,1,1
83,Alec Burks\burksal01,SG,29,NYK,49,1255,0.42,16.8,,0.508,0.146,0.138,0.128,0.096,0.492,,0.425,0.507,0.377,0.422,0.375,0.415,,0.426,0.686,,0,0,,0.301,0.473,,0,0
84,Jimmy Butler\butleji01,SF,31,MIA,52,1745,0.497,9.3,,0.861,0.327,0.289,0.166,0.079,0.139,,0.538,0.722,0.441,0.426,0.362,0.245,,0.358,0.68,,0.053,39,,0.333,0.265,,2,0
85,Bruno Caboclo\cabocbr01,PF,25,HOU,6,36,0.471,9.6,,0.706,0.353,0.353,0,0,0.294,,0.667,1,0.333,,,0,,0.625,,,0.235,4,,0.4,0,,0,0
86,Devontae Cacok\cacokde01,PF,24,LAL,20,98,0.586,3.1,,1,0.586,0.379,0.034,0,0,,0.586,0.706,0.455,0,,,,0.706,,,0.31,7,,,,,0,0
87,Kentavious Caldwell-Pope\caldwke01,SG,27,LAL,67,1902,0.431,17.6,,0.421,0.204,0.073,0.042,0.103,0.579,,0.46,0.602,0.378,0.238,0.327,0.41,,0.816,0.95,,0.018,7,,0.396,0.431,,0,0
88,Facundo Campazzo\campafa01,PG,29,DEN,65,1425,0.381,19.6,,0.314,0.105,0.137,0.054,0.019,0.686,,0.444,0.636,0.419,0.235,0.167,0.352,,0.273,0.842,,0,0,,0.269,0.448,,2,0
89,Vlatko Čančar\cancavl01,PF,23,DEN,41,281,0.458,14.1,,0.542,0.319,0.167,0.042,0.014,0.458,,0.615,0.696,0.5,0.333,1,0.273,,0.75,1,,0.069,4,,0.273,0.667,,1,0
90,Devin Cannady\cannade01,PG,24,ORL,8,74,0.393,19.3,,0.429,0.036,0.107,0.143,0.143,0.571,,0.417,0,0,0.5,0.75,0.375,,0.2,0.833,,0,0,,0.313,0.4,,0,0
91,Clint Capela\capelca01,C,26,ATL,63,1898,0.594,2.4,,1,0.709,0.269,0.017,0.004,0,,0.594,0.684,0.385,0.25,0.333,,,0.668,,,0.259,168,,,,,0,0
92,Vernon Carey Jr.\careyve01,C,19,CHO,19,115,0.5,10.6,,0.806,0.361,0.194,0.083,0.167,0.194,,0.586,0.692,0.429,0.667,0.5,0.143,,0.706,1,,0.056,2,,0.429,0,,0,0
93,Jevon Carter\carteje01,PG,25,PHO,60,717,0.422,21.2,,0.323,0.076,0.054,0.072,0.121,0.677,,0.528,0.588,0.417,0.563,0.519,0.371,,0.526,0.946,,0.004,1,,0.252,0.395,,1,0
94,Wendell Carter Jr.\cartewe01,C,21,TOT,54,1375,0.503,8.2,,0.888,0.4,0.256,0.158,0.074,0.112,,0.53,0.689,0.444,0.361,0.324,0.294,,0.767,0.933,,0.112,48,,0.196,0.4,,0,0
94,Wendell Carter Jr.\cartewe01,C,21,CHI,32,792,0.512,7.5,,0.913,0.409,0.29,0.155,0.06,0.087,,0.526,0.641,0.466,0.41,0.333,0.364,,0.785,1,,0.099,23,,0.227,0.6,,0,0
