Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P d,0-3 d,3-10 d,10-16 d,16-3P d,3P d,,2P p,0-3 p,3-10 p,10-16 p,16-3P p,3P p,,2P a,3P a,,%FGA du,#,,%3PA c,3P% c,,Att.,#
68,Malcolm Brogdon\brogdma01,PG,27,IND,54,1666,0.438,13.9,,0.691,0.325,0.087,0.099,0.179,0.309,,0.488,0.533,0.308,0.541,0.466,0.326,,0.187,0.453,,0.008,6,,0.078,0.222,,0,0
69,Dillon Brooks\brookdi01,SG,24,MEM,73,2112,0.407,15.6,,0.615,0.169,0.155,0.174,0.117,0.385,,0.438,0.528,0.38,0.435,0.392,0.358,,0.535,0.891,,0.013,11,,0.107,0.386,,1,0
70,Bruce Brown\brownbr01,PG,23,DET,58,1634,0.443,8.5,,0.785,0.391,0.347,0.036,0.011,0.215,,0.47,0.6,0.355,0.25,0.2,0.344,,0.382,0.97,,0.056,21,,0.625,0.417,,0,0
71,Charlie Brown\brownch02,SG,22,ATL,10,40,0.316,14.3,,0.526,0.263,0.211,0.053,0,0.474,,0.3,0.2,0.5,0,,0.333,,1,1,,0.053,1,,0.222,0,,0,0
72,Jaylen Brown\brownja02,SG,23,BOS,57,1934,0.481,13.6,,0.619,0.269,0.194,0.09,0.065,0.381,,0.543,0.703,0.407,0.488,0.362,0.382,,0.477,0.884,,0.051,38,,0.269,0.484,,2,0
73,Moses Brown\brownmo01,C,20,POR,9,33,0.4,2,,1,0.8,0.2,0,0,0,,0.4,0.375,0.5,,,,,0.75,,,0.2,1,,,,,0,0
74,Sterling Brown\brownst02,SF,24,MIL,52,767,0.371,16.4,,0.469,0.227,0.125,0.063,0.055,0.531,,0.425,0.569,0.313,0.375,0.143,0.324,,0.471,0.909,,0.023,5,,0.324,0.432,,1,0
75,Troy Brown Jr.\browntr01,SF,20,WAS,69,1782,0.439,13.3,,0.712,0.272,0.195,0.108,0.138,0.288,,0.479,0.68,0.355,0.343,0.36,0.341,,0.528,0.967,,0.035,18,,0.263,0.447,,7,1
76,Jalen Brunson\brunsja01,PG,23,DAL,57,1022,0.466,13.6,,0.691,0.178,0.258,0.139,0.116,0.309,,0.515,0.623,0.5,0.5,0.4,0.358,,0.239,0.814,,0,0,,0.233,0.357,,0,0
77,Thomas Bryant\bryanth01,C,22,WAS,46,1147,0.581,10.8,,0.782,0.411,0.134,0.093,0.144,0.218,,0.63,0.785,0.518,0.462,0.4,0.407,,0.772,0.946,,0.163,67,,0.11,0.4,,0,0
78,Reggie Bullock\bullore01,SG,28,NYK,29,684,0.402,18,,0.504,0.161,0.071,0.076,0.196,0.496,,0.469,0.694,0.188,0.412,0.409,0.333,,0.717,0.973,,0.004,1,,0.27,0.3,,0,0
79,Trey Burke\burketr01,PG,27,TOT,33,520,0.45,15.1,,0.641,0.244,0.11,0.124,0.163,0.359,,0.463,0.549,0.348,0.577,0.324,0.427,,0.323,0.844,,0,0,,0.227,0.471,,2,0
80,Alec Burks\burksal01,SF-SG,28,TOT,66,1754,0.418,15.4,,0.608,0.201,0.164,0.13,0.113,0.392,,0.439,0.565,0.341,0.42,0.379,0.385,,0.424,0.681,,0.013,10,,0.186,0.464,,1,0
81,Deonte Burton\burtode02,SF,26,OKC,39,356,0.344,14.6,,0.576,0.352,0.136,0.024,0.064,0.424,,0.458,0.614,0.235,0,0.25,0.189,,0.727,0.9,,0.04,5,,0.245,0.154,,3,0
